voedingsdata
Code;Omschrijving;Bron;Merk;countries_tags;Energie Kcal per 100g;Koolhydraten per 100g;Eiwitten per 100g;Vetten per 100g;Vezels per 100 g;Soortelijk gewicht;Portie 1 - omschrijving;Portie 1 - hoeveelheid;Portie 2 - omschrijving;Portie 2 - hoeveelheid;Portie 3 - omschrijving;Portie 3 - hoeveelheid
;Aardappelen;NEVO-Online;;;88;19;2;0;1,8;;Aardappel;80;;;;
;Witte pasta;NEVO-Online;;;356;72;12,3;1,5;3;;Portie (droog);75;;;;
;Witte rijst;NEVO-Online;;;352;78;7;1;1,3;;Portie (droog);75;;;;
;Andijvie;NEVO-Online;;;16;1;1,5;0,3;1,7;;;;;;;
;Witte aperges;NEVO-Online;;;22;3;1;0,3;1,7;;Asperge;40;;;;
;Aubergine;NEVO-Online;;;20;3;1;0;2;;Aubergine;250;;;;
;Rode bieten;NEVO-Online;;;38;6;1,7;0,1;2,9;;Kleine biet;40;Grote biet;300;;
;Bloemkool;NEVO-Online;;;25;3;1,9;0,2;2,2;;Hele bloemkool;700;;;;
;Cantharel;NEVO-Online;;;16;1;1,8;0;2,5;;;;;;;
;Champignon;NEVO-Online;;;18;0,4;2,3;0,5;1,5;;;;;;;
;Chinese kool;NEVO-Online;;;17;2;1;0;2,5;;;;;;;
;Doperwten;NEVO-Online;;;65;10;4;0;4,7;;;;;;;
;Groene kool;NEVO-Online;;;36;4,1;2,4;0,2;4,1;;;;;;;
;Komkommer zonder schil;NEVO-Online;;;15;2,5;0,6;0,2;0,3;;Hele komkommer;400;Plakje;7;;
;Groene paprika;NEVO-Online;;;19;2,5;0,8;0,1;2,5;;Paprika;130;;;;
;Rozijnen gedroogd;NEVO-Online;;;325;71,7;3,1;0,5;3,7;;;;;;;
;Peultjes;NEVO-Online;;;33;5;2;0;2,5;;;;;;;
;Raapstelen;NEVO-Online;;;17;1;2;0;2,3;;;;;;;
;Rabarber;NEVO-Online;;;23;2;1;0;1,8;;Bos;500;;;;
;Rode kool;NEVO-Online;;;27;3;2;0;3,6;;;;;;;
;Schorseneren;NEVO-Online;;;76;15;1;1;1,7;;Stuk;15;;;;
;Kropsla;NEVO-Online;;;13;0,3;1,4;0,4;1,2;;Krop;250;;;;
;Snijbonen;NEVO-Online;;;22;2;1,9;0,1;2,7;;Boon;4;;;;
;Sperziebonen;NEVO-Online;;;25;1,8;2,3;0,2;3,6;;Boon;4;;;;
;Spinazie;NEVO-Online;;;26;0,9;3,2;0,6;2;;;;;;;
;Spitskool;NEVO-Online;;;42;4;3;1;2,5;;;;;;;
